equipment_id,equipment_type,temperature_avg,humidity_avg,last_maintenance_days,uptime_hours,sensor_1,sensor_2,vibration,voltage_fluctuation,pressure,equipment_health,failure_probability,failure_reason,maintenance_level,cost_implications,updated_uptime
EQ-9953,CT Scanner,33.2,23.8,455,2250,0.83,0.16,0.77,0.26,84.5,Critical,0.7,Component Wear,High,9408,2472
EQ-5778,Blood Analyzer,27.4,70.6,203,4676,0.8,0.88,1.17,1.39,119.4,Moderate,0.5,Voltage Surge,Medium,6453,5555
EQ-6291,CT Scanner,23.7,37.4,725,2314,0.92,0.57,3.52,1.21,99.0,Moderate,0.55,Voltage Surge,Medium,4718,3123
EQ-5803,X-ray Machine,31.2,59.9,211,2663,0.71,-0.0,2.87,0.88,118.6,Good,0.05,Calibration Drift,Low,2531,3628
EQ-8285,Ventilator,32.5,39.2,325,4503,-0.01,0.83,0.39,0.2,126.2,Critical,0.8,Pressure Leak,High,14410,4958
EQ-1754,CT Scanner,28.5,60.7,407,2221,-0.01,0.82,5.2,0.6,94.5,Critical,1.0,Overheating,High,14357,2554
EQ-3676,Ventilator,22.6,79.6,233,1242,0.82,0.24,3.2,0.44,88.3,Critical,0.6,Component Wear,High,10342,1682
EQ-8597,CT Scanner,32.5,37.4,579,4202,-0.01,0.83,4.41,0.8,83.6,Critical,0.7,Calibration Drift,High,14499,4639
EQ-5569,X-ray Machine,18.2,64.7,510,178,0.28,0.93,3.67,-0.04,82.3,Moderate,0.35,Component Wear,Medium,4843,1024
EQ-2657,CT Scanner,31.6,61.8,681,4100,0.21,0.2,4.76,1.47,122.0,Critical,1.0,Voltage Surge,High,8568,4514
EQ-3410,CT Scanner,38.2,56.1,333,4103,0.36,0.71,4.66,0.88,113.8,Critical,0.95,Overheating,High,10649,4379
EQ-5812,Blood Analyzer,32.2,67.6,426,1084,0.56,0.11,4.95,1.33,84.5,Moderate,0.55,Voltage Surge,Medium,6540,2226
EQ-1748,X-ray Machine,33.0,29.1,499,3610,0.38,0.08,4.16,0.19,99.3,Moderate,0.35,Calibration Drift,Medium,6149,4484
EQ-8974,MRI Scanner,32.2,36.6,3,519,0.54,0.16,5.54,0.6,102.6,Moderate,0.55,Overheating,Medium,5716,1209
EQ-5051,CT Scanner,38.9,47.7,639,4543,0.79,0.48,0.22,0.43,124.8,Critical,0.8,Overheating,High,14848,4939
EQ-1833,Blood Analyzer,20.6,43.8,159,2750,0.11,0.21,3.76,1.34,86.7,Good,0.25,Voltage Surge,Low,2420,3507
EQ-1188,Blood Analyzer,38.9,79.6,206,3547,0.17,0.58,0.91,0.62,86.9,Critical,0.85,Overheating,High,8784,3892
EQ-8157,Blood Analyzer,37.1,55.6,221,2681,0.68,0.4,4.03,1.08,128.8,Critical,0.7,Overheating,High,8807,2871
EQ-3250,MRI Scanner,28.2,40.4,520,2027,0.74,0.81,1.09,0.6,120.1,Moderate,0.45,Pressure Leak,Medium,6743,2720
EQ-3356,Ventilator,36.1,39.6,545,1631,0.4,0.91,5.9,1.45,86.4,Critical,1.0,Overheating,High,11524,2038
EQ-7255,CT Scanner,22.5,60.1,139,1076,-0.1,0.36,3.07,0.73,94.7,Moderate,0.3,Component Wear,Medium,4657,2239
EQ-1124,Ventilator,20.2,52.7,110,4950,0.03,0.95,2.27,1.28,89.9,Good,0.25,Voltage Surge,Low,2760,5952
EQ-6998,X-ray Machine,23.0,26.2,608,3580,0.11,0.58,3.4,0.54,103.4,Moderate,0.35,Calibration Drift,Medium,7621,4316
EQ-1623,CT Scanner,23.2,62.8,319,2491,-0.0,0.28,3.09,0.18,125.0,Critical,0.7,Pressure Leak,High,12744,2816
EQ-7907,X-ray Machine,18.9,32.0,372,2048,0.37,0.84,3.17,0.72,121.6,Moderate,0.45,Pressure Leak,Medium,6590,2967
EQ-6376,MRI Scanner,30.5,70.0,170,2623,0.56,0.9,3.4,1.43,101.4,Moderate,0.5,Voltage Surge,Medium,5212,3405
EQ-7723,Ventilator,33.1,31.3,554,3520,0.43,0.28,2.65,0.88,98.7,Critical,0.7,Calibration Drift,High,12645,3987
EQ-2595,X-ray Machine,26.8,74.5,144,761,0.89,0.38,5.12,0.6,111.9,Moderate,0.45,Overheating,Medium,5411,1889
EQ-9890,Ventilator,20.4,62.5,419,3085,1.0,0.11,0.3,0.68,120.6,Critical,0.7,Pressure Leak,High,10198,3560
EQ-5012,Blood Analyzer,20.9,62.8,522,4035,0.23,0.33,0.23,0.06,88.2,Moderate,0.35,Calibration Drift,Medium,4012,5010
EQ-3195,CT Scanner,18.6,68.8,172,4033,0.11,0.29,2.68,0.02,124.8,Moderate,0.4,Pressure Leak,Medium,7048,5207
EQ-1255,CT Scanner,18.9,28.3,547,4944,0.77,0.28,0.09,0.84,88.3,Moderate,0.35,Calibration Drift,Medium,7835,5868
EQ-9858,Blood Analyzer,23.8,35.8,288,1526,0.91,0.39,5.11,1.15,113.2,Moderate,0.4,Overheating,Medium,4208,2283
EQ-4560,Blood Analyzer,23.1,20.1,61,1392,0.2,0.71,5.04,1.49,124.3,Moderate,0.5,Overheating,Medium,7741,2365
EQ-6235,Ventilator,30.2,24.5,33,312,0.39,0.16,2.05,0.72,120.6,Moderate,0.5,Pressure Leak,Medium,7460,1319
EQ-8634,Blood Analyzer,33.9,51.9,327,4344,0.44,0.12,1.19,0.68,129.4,Good,0.15,Pressure Leak,Low,2887,5158
EQ-3362,X-ray Machine,37.1,58.0,651,316,0.67,0.18,2.1,0.16,129.9,Critical,0.8,Overheating,High,8551,812
EQ-4552,Blood Analyzer,39.2,52.5,500,106,0.34,0.4,1.54,-0.02,124.8,Critical,0.8,Overheating,High,8458,225
EQ-7798,Ventilator,19.0,30.1,401,2579,0.86,0.51,2.21,0.13,109.8,Moderate,0.35,Calibration Drift,Medium,7917,3436
EQ-1532,CT Scanner,29.3,57.7,655,1686,0.74,0.82,2.44,0.17,120.1,Critical,1.0,Pressure Leak,High,13476,1870
EQ-9335,X-ray Machine,18.6,71.1,250,4340,0.32,0.42,5.53,0.8,115.3,Moderate,0.45,Overheating,Medium,5808,5014
EQ-3337,Ventilator,29.9,51.9,236,1110,0.31,0.97,1.0,1.25,126.1,Critical,0.65,Voltage Surge,High,13953,1492
EQ-2383,CT Scanner,22.5,28.8,219,1030,0.81,0.25,4.75,0.85,95.9,Good,0.05,Component Wear,Low,1793,1630
EQ-1859,X-ray Machine,34.0,33.1,603,4627,0.88,0.83,4.86,1.03,109.7,Moderate,0.55,Component Wear,Medium,5533,5283
EQ-3530,Blood Analyzer,36.6,50.9,149,2926,0.54,0.5,4.62,0.23,118.0,Moderate,0.4,Overheating,Medium,6910,4063
EQ-7236,X-ray Machine,26.9,43.6,119,895,0.12,0.64,1.34,1.33,120.4,Moderate,0.35,Voltage Surge,Medium,7491,1514
EQ-8069,CT Scanner,27.5,61.3,588,1333,0.06,0.9,5.67,0.9,82.5,Critical,0.75,Overheating,High,10497,1638
